CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1640	7085	27	0.9403	-17.027
4266	5762	27	0.9779	18.011
582	1425	27	0.9535	-0.000
255	3465	27	0.9552	-35.978
1864	5469	27	0.9369	-36.019
616	3563	27	0.9497	-17.967
2771	6981	27	0.9435	-14.016
1386	3463	27	0.94	20.007
21	2402	27	0.9611	0.000
425	1753	27	0.9609	-17.027
44	253	27	0.9537	-17.026
5484	7078	27	0.9407	44.027
582	6981	27	0.9566	-28.031
3563	3639	27	0.9628	-0.007
21	255	27	0.9565	0.000
2402	6564	27	0.9328	-28.032
178	290	27	0.9676	18.010
255	1425	27	0.9596	-0.000
253	7611	27	0.9348	18.011
290	7085	27	0.9653	-17.027
3465	3563	27	0.9771	0.000
1849	14240	27	0.9425	-42.047
1753	7085	27	0.9494	0.000
21	1694	27	0.9692	-28.031
410	7085	27	0.9586	-35.038
21	6564	27	0.9623	-28.032
1802	2771	27	0.9784	0.000
10282	10295	27	0.9523	-35.037
4916	12502	27	0.9418	-0.001
1694	2402	27	0.9479	28.031
1425	3661	27	0.9627	-0.000
2598	13930	27	0.9351	-36.021
1557	1694	27	0.9729	-28.031
6564	10283	27	0.9322	-53.988
1753	10295	27	0.9266	-28.031
290	425	27	0.9902	0.001
10279	10283	27	0.9482	-53.987
290	1640	27	0.9691	-0.000
4266	5577	27	0.9661	36.021
44	178	27	0.9462	17.967
4266	7041	27	0.97	18.011
253	12887	27	0.9272	-253.192
5577	7075	27	0.9638	0.000
164	3465	27	0.9739	18.010
10279	10282	27	0.9483	-18.010
1557	2402	27	0.9487	0.000
616	7057	27	0.9523	-17.027
1425	1694	27	0.9593	-28.031
290	5469	27	0.9545	-35.036
5543	7055	27	0.9335	-42.011
11370	11381	27	0.9362	28.031
21	3661	27	0.9739	-0.000
582	3465	27	0.951	-35.978
290	410	27	0.979	18.011
1425	1802	27	0.951	-14.015
2178	9257	27	0.9375	0.000
255	616	27	0.9716	-18.011
2402	3661	27	0.9476	-0.000
1864	7085	27	0.9408	-18.011
1754	3661	27	0.9518	-14.016
7046	7075	27	0.9218	35.037
1802	3661	27	0.9339	14.015
1753	1864	27	0.9337	18.011
178	2178	27	0.9439	36.020
582	1802	27	0.9605	-14.016
44	7611	27	0.948	0.985
616	3639	27	0.9508	-17.974
14240	14325	27	0.9331	28.031
582	616	27	0.9756	-18.011
44	3463	27	0.9595	18.010
44	3465	27	0.9527	36.021
21	1754	27	0.9768	14.015
