	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	LC
6487	https://www.sinergiawolfender.org/jlw/V106580	Chenopodiaceae	Spinacia	Spinacia oleracea	188.0	188.0	2135.0	0.8445
6488	https://www.sinergiawolfender.org/jlw/V106581	Lamiaceae	Stachys	Stachys chinensis	90.0	864.0	45837.0	-0.04814000000000007
6489	https://www.sinergiawolfender.org/jlw/V106582	Lamiaceae	Stachys	Stachys chinensis	90.0	864.0	45837.0	-0.04814000000000007
6490	https://www.sinergiawolfender.org/jlw/V106583	Caryophyllaceae	Stellaria	Stellaria diffusa	0.0	247.0	2027.0	0.93476
6491	https://www.sinergiawolfender.org/jlw/V106584	Caryophyllaceae	Stellaria	Stellaria radicans	0.0	247.0	2027.0	0.93476
6492	https://www.sinergiawolfender.org/jlw/V106585	Caryophyllaceae	Stellaria	Stellaria radicans	0.0	247.0	2027.0	0.93476
6493	https://www.sinergiawolfender.org/jlw/V106586	Asteraceae	Tanacetum	Tanacetum vulgare	355.0	1708.0	96094.0	-1.27018
6494	https://www.sinergiawolfender.org/jlw/V106587	Asteraceae	Tanacetum	Tanacetum vulgare	355.0	1708.0	96094.0	-1.27018
6495	https://www.sinergiawolfender.org/jlw/V106588	Asteraceae	Tanacetum	Tanacetum vulgare	355.0	1708.0	96094.0	-1.27018
6496	https://www.sinergiawolfender.org/jlw/V106589	Asteraceae	Taraxacum	Taraxacum multisectum	0.0	993.0	96094.0	-1.02118
6497	https://www.sinergiawolfender.org/jlw/V106590	Ranunculaceae	Thalictrum	"Thalictrum aquilegiifolium var. sibiricum (re-ranked as ""species"", was ""varietas"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1492.0	13322.0	0.58436
6498	https://www.sinergiawolfender.org/jlw/V106591	Ranunculaceae	Thalictrum	"Thalictrum aquilegiifolium var. sibiricum (re-ranked as ""species"", was ""varietas"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1492.0	13322.0	0.58436
6499	https://www.sinergiawolfender.org/jlw/V106592	Ranunculaceae	Thalictrum	"Thalictrum aquilegiifolium var. sibiricum (re-ranked as ""species"", was ""varietas"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1492.0	13322.0	0.58436
6500	https://www.sinergiawolfender.org/jlw/V106593	Ranunculaceae	Thalictrum	Thalictrum petaloideum	17.0	1492.0	13322.0	0.57586
6501	https://www.sinergiawolfender.org/jlw/V106594	Ranunculaceae	Thalictrum	Thalictrum petaloideum	17.0	1492.0	13322.0	0.57586
6502	https://www.sinergiawolfender.org/jlw/V106595	Ranunculaceae	Thalictrum	Thalictrum simplex	75.0	1492.0	13322.0	0.54686
6503	https://www.sinergiawolfender.org/jlw/V106596	Ranunculaceae	Thalictrum	Thalictrum simplex	75.0	1492.0	13322.0	0.54686
6504	https://www.sinergiawolfender.org/jlw/V106597	Fabaceae	Trifolium	Trifolium lupinaster	6.0	1196.0	59372.0	-0.3100400000000001
6505	https://www.sinergiawolfender.org/jlw/V106598	Poaceae	Triticum	Triticum aestivum	215.0	332.0	4877.0	0.76176
6506	https://www.sinergiawolfender.org/jlw/V106599	Asteraceae	Aster	Aster fastigiatus	0.0	1318.0	96094.0	-1.05368
6507	https://www.sinergiawolfender.org/jlw/V106600	Asteraceae	Aster	Aster fastigiatus	0.0	1318.0	96094.0	-1.05368
6508	https://www.sinergiawolfender.org/jlw/V106601	Asteraceae	Aster	Aster fastigiatus	0.0	1318.0	96094.0	-1.05368
6509	https://www.sinergiawolfender.org/jlw/V106602	Typhaceae	Typha	Typha angustifolia	15.0	150.0	205.0	0.9734
6510	https://www.sinergiawolfender.org/jlw/V106603	Typhaceae	Typha	Typha angustifolia	15.0	150.0	205.0	0.9734
6511	https://www.sinergiawolfender.org/jlw/V106604	Typhaceae	Typha	Typha davidiana	0.0	150.0	205.0	0.9809
6512	https://www.sinergiawolfender.org/jlw/V106605	Typhaceae	Typha	Typha davidiana	0.0	150.0	205.0	0.9809
6513	https://www.sinergiawolfender.org/jlw/V106606	Melanthiaceae	Veratrum	Veratrum nigrum	88.0	800.0	1350.0	0.849
6514	https://www.sinergiawolfender.org/jlw/V106607	Plantaginaceae	Veronica	Veronica linariifolia	0.0	810.0	5618.0	0.80664
6515	https://www.sinergiawolfender.org/jlw/V106608	Plantaginaceae	Veronica	Veronica linariifolia	0.0	810.0	5618.0	0.80664
6516	https://www.sinergiawolfender.org/jlw/V106609	Fabaceae	Vicia	Vicia amoena	0.0	440.0	59372.0	-0.2314400000000001
6517	https://www.sinergiawolfender.org/jlw/V106610	Fabaceae	Vicia	Vicia amoena	0.0	440.0	59372.0	-0.2314400000000001
6518	https://www.sinergiawolfender.org/jlw/V106611	Fabaceae	Vicia	Vicia amurensis	11.0	440.0	59372.0	-0.23694000000000004
6519	https://www.sinergiawolfender.org/jlw/V106612	Fabaceae	Vicia	Vicia amurensis	11.0	440.0	59372.0	-0.23694000000000004
6520	https://www.sinergiawolfender.org/jlw/V106613	Asteraceae	Xanthium	Xanthium strumarium	347.0	645.0	96094.0	-1.15988
6521	https://www.sinergiawolfender.org/jlw/V106614	Asteraceae	Xanthium	Xanthium strumarium	347.0	645.0	96094.0	-1.15988
6522	https://www.sinergiawolfender.org/jlw/V106615	Rosaceae	Spiraea	Spiraea salicifolia	4.0	242.0	10608.0	0.76164
6523	https://www.sinergiawolfender.org/jlw/V106616	Rosaceae	Spiraea	Spiraea salicifolia	4.0	242.0	10608.0	0.76164
6524	https://www.sinergiawolfender.org/jlw/V106617	Rosaceae	Spiraea	Spiraea salicifolia	4.0	242.0	10608.0	0.76164
6525	https://www.sinergiawolfender.org/jlw/V106618	Apiaceae	Apium	Apium graveolens	229.0	229.0	14930.0	0.564
6526	https://www.sinergiawolfender.org/jlw/V106619	Sapindaceae	Acer	"Acer pictum subsp. mono (re-ranked as ""species"", was ""subspecies"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1026.0	2733.0	0.8427399999999999
6527	https://www.sinergiawolfender.org/jlw/V106620	Sapindaceae	Acer	"Acer pictum subsp. mono (re-ranked as ""species"", was ""subspecies"" in ott3.3) (re-ranked as ""species"", was ""species"" in ott3.3)"	0.0	1026.0	2733.0	0.8427399999999999
6528	https://www.sinergiawolfender.org/jlw/V106621	Equisetaceae	Equisetum	Equisetum fluviatile	26.0	498.0	498.0	0.9272400000000001
6529	https://www.sinergiawolfender.org/jlw/V106622	Euphorbiaceae	Acalypha	Acalypha australis	12.0	132.0	12356.0	0.73368
6530	https://www.sinergiawolfender.org/jlw/V106623	Simaroubaceae	Ailanthus	Ailanthus altissima	321.0	464.0	3260.0	0.7279
6531	https://www.sinergiawolfender.org/jlw/V106624	Simaroubaceae	Ailanthus	Ailanthus altissima	321.0	464.0	3260.0	0.7279
6532	https://www.sinergiawolfender.org/jlw/V106625	Asteraceae	Arctium	Arctium lappa	212.0	230.0	96094.0	-1.05088
6533	https://www.sinergiawolfender.org/jlw/V106626	Fabaceae	Astragalus	Astragalus membranaceus	283.0	3223.0	59372.0	-0.65124
6534	https://www.sinergiawolfender.org/jlw/V106627	Iridaceae	Iris	Iris domestica	239.0	1482.0	2274.0	0.6868200000000001
